job_title,salary_estimate,rating,company_name,location,latitude,longitude,headquarters,size,type_of_ownership,industry,sector,revenue,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadoop,spark,aws,tableau,big_data,job_simp,seniority
Sr Data Scientist,137-171 ,3.1,Healthfirst,"New York, NY",40.7127281,-74.0060152,"New York, NY",1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,137,171,154, NY,1,27,0,0,0,0,1,0,0,data scientist,senior
Data Scientist,137-171 ,4.2,ManTech,"Chantilly, VA",38.8788355,-77.40221718011088,"Herndon, VA",5001 to 10000 employees,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),137,171,154, VA,0,52,0,0,1,0,0,0,1,data scientist,na
Data Scientist,137-171 ,3.8,Analysis Group,"Boston, MA",42.3554334,-71.060511,"Boston, MA",1001 to 5000 employees,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),137,171,154, MA,1,39,1,1,0,0,1,0,0,data scientist,na
Data Scientist,137-171 ,3.5,INFICON,"Newton, MA",42.3370414,-71.2092214,"Bad Ragaz, Switzerland",501 to 1000 employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),137,171,154, MA,0,20,1,1,0,0,1,0,0,data scientist,na
Data Scientist,137-171 ,2.9,Affinity Solutions,"New York, NY",40.7127281,-74.0060152,"New York, NY",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,137,171,154, NY,1,22,1,1,0,0,0,0,0,data scientist,na
Data Scientist,137-171 ,4.2,HG Insights,"Santa Barbara, CA",34.4221319,-119.702667,"Santa Barbara, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137,171,154, CA,1,10,1,1,1,1,0,0,0,data scientist,na
Data Scientist / Machine Learning Expert,137-171 ,3.9,Novartis,"Cambridge, MA",42.3750997,-71.1056157,"Basel, Switzerland",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),137,171,154, MA,0,24,1,0,0,0,0,0,0,data scientist,na
Data Scientist,137-171 ,3.5,iRobot,"Bedford, MA",42.4917301,-71.2817947,"Bedford, MA",1001 to 5000 employees,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),137,171,154, MA,1,30,1,0,0,0,0,0,0,data scientist,na
Staff Data Scientist - Analytics,137-171 ,4.4,Intuit - Data,"San Diego, CA",32.7174202,-117.1627728,"Mountain View, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),137,171,154, CA,0,37,0,0,0,0,0,0,0,data scientist,na
Data Scientist,137-171 ,3.6,XSELL Technologies,"Chicago, IL",41.8755616,-87.6244212,"Chicago, IL",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,137,171,154, IL,1,6,1,0,0,0,0,0,0,data scientist,na
Data Scientist,137-171 ,4.5,Novetta,"Herndon, VA",38.9695316,-77.3859479,"Mc Lean, VA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),137,171,154, VA,0,8,1,1,0,0,1,0,0,data scientist,na
Data Scientist,137-171 ,4.7,1904labs,"Saint Louis, MO",38.6280278,-90.1910154,"Saint Louis, MO",51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,137,171,154, MO,1,4,1,0,0,1,0,0,0,data scientist,na
"Data Scientist - Statistics, Early Career",137-171 ,3.7,PNNL,"Richland, WA",46.2804298,-119.275205,"Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),137,171,154, WA,1,55,0,1,0,0,0,0,0,data scientist,na
Data Modeler,137-171 ,3.1,Old World Industries,"Northbrook, IL",42.128704,-87.8265089,"Northbrook, IL",201 to 500 employees,Company - Private,Chemical Manufacturing,Manufacturing,$1 to $2 billion (USD),137,171,154, IL,1,47,1,1,0,0,0,1,0,na,na
Data Scientist,137-171 ,3.4,Mathematica Policy Research,"Washington, DC",38.8950368,-77.0365427,"Princeton, NJ",1001 to 5000 employees,Company - Private,Consulting,Business Services,$100 to $500 million (USD),137,171,154, DC,0,34,1,1,0,0,1,0,0,data scientist,na
Experienced Data Scientist,137-171 ,4.4,Guzman & Griffin Technologies (GGTI),"Washington, DC",38.8950368,-77.0365427,"Mays Landing, NJ",1 to 50 employees,Company - Private,Federal Agencies,Government,Unknown / Non-Applicable,137,171,154, DC,0,23,1,1,1,1,0,1,0,data scientist,na
Data Scientist,137-171 ,3.5,Buckman,"Memphis, TN",35.1460249,-90.0517638,"Memphis, TN",1001 to 5000 employees,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),137,171,154, TN,1,75,1,0,1,0,0,0,0,data scientist,na
Data Analyst II,137-171 ,4.2,"Insight Enterprises, Inc.","Plano, TX",33.0136764,-96.6925096,"Tempe, AZ",5001 to 10000 employees,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),137,171,154, TX,0,32,0,1,0,0,0,0,0,analyst,na
Medical Lab Scientist,137-171 ,3.5,Tower Health,"West Grove, PA",39.82055685,-75.82832725481009,"Reading, PA",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,137,171,154, PA,0,3,0,0,0,0,0,0,0,na,na
Data Scientist,137-171 ,3.2,Triplebyte,"New York, NY",40.7127281,-74.0060152,"San Francisco, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137,171,154, NY,0,5,0,0,0,0,0,0,0,data scientist,na
Data Scientist/Machine Learning,137-171 ,4.3,PulsePoint,"New York, NY",40.7127281,-74.0060152,"New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology,$100 to $500 million (USD),137,171,154, NY,1,9,1,0,1,1,0,0,1,data scientist,na
Human Factors Scientist,137-171 ,3.5,Exponent,"Phoenix, AZ",33.4484367,-112.074141,"Menlo Park, CA",1001 to 5000 employees,Company - Public,Consulting,Business Services,$100 to $500 million (USD),137,171,154, AZ,0,53,0,1,0,0,0,0,0,na,na
Business Intelligence Analyst I- Data Insights,137-171 ,3.5,Guardian Life,"Appleton, WI",44.2613967,-88.4069744,"New York, NY",5001 to 10000 employees,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),137,171,154, WI,0,160,0,0,0,0,0,0,0,analyst,na
Data Scientist,137-171 ,3.4,Spectrum Communications and Consulting,"Chicago, IL",41.8755616,-87.6244212,"Chicago, IL",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),137,171,154, IL,1,28,0,0,0,0,0,0,0,data scientist,na
Data Scientist,137-171 ,4.7,Oversight Systems,"Atlanta, GA",33.7489924,-84.3902644,"Atlanta, GA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),137,171,154, GA,1,17,1,1,0,0,0,0,0,data scientist,na
Data Scientist - Risk,137-171 ,4.2,LSQ,"Orlando, FL",28.5421109,-81.3790304,"Orlando, FL",51 to 200 employees,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),137,171,154, FL,1,24,1,1,1,1,1,1,1,data scientist,na
Data Scientist-Human Resources,137-171 ,3.8,MIT Lincoln Laboratory,"Lexington, MA",42.4473175,-71.2245003,"Lexington, MA",1001 to 5000 employees,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,137,171,154, MA,1,69,1,0,1,1,0,0,1,data scientist,na
Data Scientist,137-171 ,4.5,Kingfisher Systems,"McLean, VA",38.93668525,-77.1858267942485,"Falls Church, VA",51 to 200 employees,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),137,171,154, VA,0,15,1,0,0,0,0,1,0,data scientist,na
Data Scientist,137-171 ,2.8,Formation,"San Francisco, CA",37.7790262,-122.419906,"San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,137,171,154, CA,1,5,0,1,0,1,0,0,1,data scientist,na
